accno,delref,store_name,rep_code,rep_name,health_score,tier_code,tier_label,tier_emoji,freq_3m,freq_6m,freq_12m,freq_score,visits_6m,visits_per_month,days_since_purchase,cadence_score,n_cats_all,n_cats_12m,cats_12m,basket_score,sku_depth_score,sku_depth_detail,trend_slope_pct,trend_score,is_recovery
KS019,KS019/7,S.I.Hardware,NP,Nikhil Panchal,64.6,at_risk,At-Risk,🟠,1.0,1.17,1.17,29.2,28,4.67,3,100.0,10,10,"Accessories, Enamel, General, PVA Paints, Primers, Putty, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",90.9,100.0,PVA Paints:6.5%; Enamel:13.7%; Woodcare:44.0%; Putty:37.5%; General:41.7%; Accessories:15.2%; QD Enamel:21.2%; Primers:15.0%; Waterproofing:15.8%; Specialised Coatings:66.7%,-13.01,0.0,False
KN011,KN011,Discount  HW TA Best Build,BV,Bhadresh Vallabh,64.2,narrow,Active but Narrow,🟡,0.67,0.84,0.92,21.0,12,2.0,52,100.0,9,8,"Accessories, Enamel, General, PVA Paints, Primers, Putty, QD Enamel, Woodcare",76.4,57.4,PVA Paints:6.1%; Enamel:12.0%; Putty:62.5%; General:10.4%; Woodcare:12.0%; QD Enamel:3.8%; Accessories:3.0%; Primers:5.0%,6.57,82.9,False
KB062,KB062,Board City,AC,Aboo Cassim,64.1,at_risk,At-Risk,🟠,3.34,4.34,4.0,100.0,10,1.67,3,83.3,6,6,"Enamel, Floor & Roof Paints, PVA Paints, Primers, QD Enamel, Woodcare",54.5,68.5,Woodcare:52.0%; QD Enamel:1.0%; PVA Paints:13.9%; Floor & Roof Paints:8.1%; Enamel:15.3%; Primers:12.5%,-14.12,0.0,False
KN024,KN024,Navisha Investments Pty Ltd,NP,Nikhil Panchal,63.8,narrow,Active but Narrow,🟡,1.67,2.17,2.0,54.2,4,0.67,31,33.3,8,8,"Accessories, Enamel, General, PVA Paints, Primers, Putty, Waterproofing, Woodcare",72.7,80.0,PVA Paints:3.2%; Primers:12.5%; Enamel:10.4%; Woodcare:32.0%; Putty:25.0%; General:31.2%; Waterproofing:39.5%; Accessories:6.1%,5.32,76.6,False
KS011,KS011,Star Glass & Hardware,NP,Nikhil Panchal,63.8,narrow,Active but Narrow,🟡,1.34,1.34,1.42,33.5,10,1.67,16,83.3,10,9,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, QD Enamel, Waterproofing, Woodcare",85.5,79.3,Primers:7.5%; Enamel:20.8%; Floor & Roof Paints:4.1%; Woodcare:68.0%; Accessories:30.3%; General:6.2%; QD Enamel:9.6%; Waterproofing:31.6%; PVA Paints:0.3%,-2.82,35.9,False
KS071,KS071,Nimeshkumar General Dealers,BV,Bhadresh Vallabh,63.6,narrow,Active but Narrow,🟡,1.0,1.34,1.58,33.5,5,0.83,8,41.7,10,10,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",90.9,91.6,PVA Paints:7.4%; Enamel:20.8%; Floor & Roof Paints:28.4%; Waterproofing:31.6%; Woodcare:56.0%; Accessories:33.3%; QD Enamel:17.3%; Primers:17.5%; Specialised Coatings:8.3%; General:8.3%,0.65,53.2,False
KS017,KS017/1,Femac Hyper CC  ta Spaza Hyper,NP,Nikhil Panchal,63.3,narrow,Active but Narrow,🟡,1.0,1.0,1.0,25.0,6,1.0,3,50.0,10,10,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Waterproofing, Woodcare",90.9,98.6,PVA Paints:11.3%; Enamel:26.2%; Primers:12.5%; Woodcare:76.0%; Floor & Roof Paints:14.9%; Accessories:30.3%; QD Enamel:4.8%; Putty:37.5%; General:4.2%; Waterproofing:28.9%,-0.01,50.0,False
KM155,KM155,Mr Build LTT (PTY) LTD,NP,Nikhil Panchal,63.1,at_risk,At-Risk,🟠,2.34,1.84,2.67,46.0,5,0.83,7,41.7,11,11,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",100.0,100.0,Enamel:14.2%; Primers:17.5%; Waterproofing:39.5%; Woodcare:72.0%; Specialised Coatings:16.7%; Accessories:36.4%; QD Enamel:13.5%; PVA Paints:8.7%; Floor & Roof Paints:9.5%; Putty:37.5%; General:18.8%,-9.48,2.6,False
KR034,KR034,Jeelani Investment TA Matanda,AP,Amit Patel,63.0,narrow,Active but Narrow,🟡,1.34,1.67,1.5,41.8,4,0.67,29,33.3,9,8,"Accessories, Enamel, General, PVA Paints, Primers, QD Enamel, Waterproofing, Woodcare",76.4,66.3,PVA Paints:3.9%; Enamel:18.0%; Accessories:15.2%; QD Enamel:6.7%; General:4.2%; Waterproofing:31.6%; Woodcare:48.0%; Primers:5.0%,9.65,98.2,False
KF028,KF028,Fayaz and Brother 891 Pty Ltd,AP,Amit Patel,63.0,narrow,Active but Narrow,🟡,1.67,1.84,1.58,46.0,5,0.83,11,41.7,10,10,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",90.9,63.4,Accessories:24.2%; QD Enamel:14.4%; Enamel:12.0%; Floor & Roof Paints:2.7%; Woodcare:32.0%; PVA Paints:0.6%; Specialised Coatings:33.3%; General:8.3%; Primers:10.0%; Waterproofing:21.1%,1.34,56.7,False
KH021,KH021,Ebrahim Abramjee Traders CC,AC,Aboo Cassim,62.9,narrow,Active but Narrow,🟡,5.68,4.68,5.0,100.0,1,0.17,1,8.3,5,5,"Accessories, Floor & Roof Paints, Primers, QD Enamel, Waterproofing",45.5,75.3,QD Enamel:41.3%; Waterproofing:21.1%; Primers:12.5%; Accessories:3.0%; Floor & Roof Paints:16.2%,5.57,77.8,False
KM027,KM027/4,Active Build,AC,Aboo Cassim,62.6,at_risk,At-Risk,🟠,0.33,1.17,1.0,29.2,29,4.83,87,100.0,11,10,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Specialised Coatings, Woodcare",94.5,79.4,PVA Paints:6.1%; Primers:22.5%; Enamel:16.4%; Woodcare:44.0%; Specialised Coatings:8.3%; Floor & Roof Paints:21.6%; General:20.8%; Putty:50.0%; QD Enamel:5.8%; Accessories:3.0%,-96.5,0.0,False
KM007,KM007,Marshall Hardware & Furniture,AC,Aboo Cassim,62.2,narrow,Active but Narrow,🟡,0.67,0.67,0.67,16.8,7,1.17,37,58.3,8,8,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Specialised Coatings, Woodcare",72.7,83.3,PVA Paints:0.3%; Enamel:26.2%; Woodcare:68.0%; Specialised Coatings:16.7%; Floor & Roof Paints:32.4%; General:12.5%; Accessories:3.0%; Primers:7.5%,22.19,100.0,False
KS019,KS019/5,S.I.Hardware  Polokwane,NP,Nikhil Panchal,62.1,at_risk,At-Risk,🟠,1.0,1.34,2.08,33.5,28,4.67,9,100.0,10,10,"Accessories, Enamel, General, PVA Paints, Primers, Putty, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",90.9,76.6,Enamel:13.1%; Primers:22.5%; Woodcare:40.0%; Putty:50.0%; Accessories:15.2%; QD Enamel:15.4%; Specialised Coatings:16.7%; Waterproofing:10.5%; PVA Paints:1.9%; General:6.2%,-13.28,0.0,False
KL034,KL034,Lucky Save 2,AP,Amit Patel,61.9,narrow,Active but Narrow,🟡,1.0,1.67,1.58,41.8,4,0.67,44,33.3,10,10,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Waterproofing, Woodcare",90.9,59.2,PVA Paints:6.8%; Enamel:13.7%; Putty:37.5%; General:8.3%; Accessories:12.1%; QD Enamel:11.5%; Floor & Roof Paints:6.8%; Waterproofing:18.4%; Woodcare:28.0%; Primers:5.0%,3.76,68.8,False
KE005,KE005/1,Easy Build Hardware,NP,Nikhil Panchal,61.8,narrow,Active but Narrow,🟡,1.0,1.0,1.42,25.0,1,0.17,16,8.3,10,10,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",90.9,80.4,Enamel:25.7%; Primers:17.5%; Woodcare:72.0%; Floor & Roof Paints:10.8%; QD Enamel:11.5%; PVA Paints:11.0%; Waterproofing:2.6%; Accessories:6.1%; General:35.4%; Specialised Coatings:8.3%,37.2,100.0,False
KN034,KN034,Nu Shop hardware,AC,Aboo Cassim,61.7,at_risk,At-Risk,🟠,1.0,1.5,1.0,37.5,8,1.33,51,66.7,10,10,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Specialised Coatings, Woodcare",90.9,100.0,PVA Paints:31.7%; Primers:30.0%; Enamel:30.6%; Floor & Roof Paints:31.1%; Woodcare:84.0%; Putty:37.5%; General:33.3%; Accessories:18.2%; QD Enamel:1.9%; Specialised Coatings:50.0%,-11.4,0.0,False
KH035,KH035,HGM Steelboys CC,BV,Bhadresh Vallabh,61.6,narrow,Active but Narrow,🟡,3.34,2.84,4.0,71.0,5,0.83,17,41.7,7,7,"Accessories, Enamel, General, PVA Paints, Primers, QD Enamel, Woodcare",63.6,23.5,Enamel:3.8%; Woodcare:4.0%; PVA Paints:1.9%; General:4.2%; Primers:12.5%; Accessories:6.1%; QD Enamel:8.7%,23.48,100.0,False
KA002,KA002,Angamia Building Material,BV,Bhadresh Vallabh,61.2,narrow,Active but Narrow,🟡,1.67,1.84,1.83,46.0,4,0.67,3,33.3,11,9,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",89.1,42.3,PVA Paints:4.9%; Enamel:13.7%; Woodcare:32.0%; Floor & Roof Paints:4.1%; Accessories:12.1%; QD Enamel:2.9%; General:14.6%; Specialised Coatings:8.3%; Waterproofing:2.6%,5.52,77.6,False
KA054,KA054,Al Soud Traders,AP,Amit Patel,61.1,narrow,Active but Narrow,🟡,0.67,0.84,0.83,21.0,3,0.5,32,25.0,10,10,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Waterproofing, Woodcare",90.9,65.8,PVA Paints:7.4%; Enamel:13.7%; Accessories:12.1%; Putty:25.0%; Floor & Roof Paints:5.4%; Waterproofing:28.9%; General:4.2%; Woodcare:56.0%; QD Enamel:6.7%; Primers:5.0%,15.59,100.0,False
KM079,KM079,Mohamedys Hardware,BV,Bhadresh Vallabh,61.0,narrow,Active but Narrow,🟡,1.67,1.34,1.25,33.5,4,0.67,9,33.3,11,8,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, Woodcare",83.6,50.5,Primers:5.0%; Woodcare:56.0%; Accessories:6.1%; PVA Paints:4.2%; Putty:25.0%; Floor & Roof Paints:1.4%; Enamel:1.1%; General:2.1%,29.1,100.0,False
KS019,KS019/3,S.I.Hardware,NP,Nikhil Panchal,60.9,at_risk,At-Risk,🟠,1.34,1.5,1.42,37.5,28,4.67,11,100.0,9,8,"Accessories, Enamel, General, PVA Paints, Primers, QD Enamel, Waterproofing, Woodcare",76.4,80.1,PVA Paints:5.2%; Enamel:16.9%; Primers:15.0%; Waterproofing:13.2%; General:12.5%; Accessories:9.1%; QD Enamel:16.3%; Woodcare:72.0%,-7.83,10.9,False
KS019,KS019/6,S.I.Hardware  Kgapane,NP,Nikhil Panchal,60.7,at_risk,At-Risk,🟠,0.67,0.84,0.75,21.0,28,4.67,8,100.0,10,9,"Accessories, Enamel, General, PVA Paints, Primers, Putty, QD Enamel, Waterproofing, Woodcare",85.5,76.0,PVA Paints:3.9%; Primers:15.0%; Enamel:10.9%; Waterproofing:5.3%; Woodcare:48.0%; Putty:37.5%; General:18.8%; Accessories:15.2%; QD Enamel:16.3%,-5.48,22.6,False
KL028,KL028,Ilanga Hardware,AC,Aboo Cassim,60.6,narrow,Active but Narrow,🟡,1.34,1.34,1.33,33.5,6,1.0,22,50.0,6,5,"Enamel, PVA Paints, Putty, Specialised Coatings, Woodcare",49.1,100.0,Enamel:22.4%; Woodcare:44.0%; Putty:50.0%; PVA Paints:0.6%; Specialised Coatings:8.3%,16.77,100.0,False
KV002,KV002,Vereeniging Builders Supplies,AC,Aboo Cassim,60.5,at_risk,At-Risk,🟠,2.67,2.51,2.5,62.7,6,1.0,8,50.0,11,10,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",94.5,59.7,PVA Paints:1.3%; Primers:10.0%; Enamel:15.8%; Woodcare:52.0%; QD Enamel:7.7%; Specialised Coatings:25.0%; Floor & Roof Paints:12.2%; Waterproofing:7.9%; General:8.3%; Accessories:9.1%,-10.23,0.0,False
KQ009,KQ009,Keystone Diy (PTY) LTD,NP,Nikhil Panchal,60.4,narrow,Active but Narrow,🟡,1.34,1.67,1.33,41.8,5,0.83,8,41.7,7,6,"Accessories, Enamel, PVA Paints, QD Enamel, Waterproofing, Woodcare",58.2,77.5,Enamel:15.3%; Woodcare:72.0%; Accessories:9.1%; QD Enamel:16.3%; PVA Paints:1.0%; Waterproofing:2.6%,9.46,97.3,False
KB002,KB002,Bright Build,BV,Bhadresh Vallabh,60.0,narrow,Active but Narrow,🟡,1.0,0.84,1.25,21.0,3,0.5,31,25.0,10,10,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Waterproofing, Woodcare",90.9,86.8,Enamel:16.9%; Floor & Roof Paints:5.4%; Primers:7.5%; Woodcare:24.0%; Putty:75.0%; Accessories:33.3%; QD Enamel:18.3%; PVA Paints:6.1%; Waterproofing:26.3%; General:4.2%,4.28,71.4,False
KV005,KV005,Valencia Hardware,BV,Bhadresh Vallabh,59.9,narrow,Active but Narrow,🟡,0.67,0.84,0.75,21.0,5,0.83,7,41.7,10,10,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Waterproofing, Woodcare",90.9,59.4,Primers:5.0%; Woodcare:40.0%; Putty:50.0%; General:10.4%; Accessories:15.2%; QD Enamel:5.8%; Enamel:1.6%; Floor & Roof Paints:4.1%; Waterproofing:15.8%; PVA Paints:0.6%,6.34,81.7,False
KH021,KH021/1,Ebrahim Abramjee Traders CC,AC,Aboo Cassim,59.8,narrow,Active but Narrow,🟡,2.67,2.84,2.5,71.0,1,0.17,35,8.3,7,7,"Accessories, Floor & Roof Paints, PVA Paints, Primers, QD Enamel, Waterproofing, Woodcare",63.6,45.0,QD Enamel:31.7%; Waterproofing:18.4%; Accessories:3.0%; Primers:7.5%; Floor & Roof Paints:13.5%; PVA Paints:0.6%; Woodcare:4.0%,13.75,100.0,False
KB013,KB013,New Bafana Bafana H Ware,AP,Amit Patel,59.7,narrow,Active but Narrow,🟡,1.0,0.67,0.75,16.8,10,1.67,31,83.3,9,9,"Accessories, Enamel, Floor & Roof Paints, General, Primers, Putty, QD Enamel, Waterproofing, Woodcare",81.8,61.2,QD Enamel:8.7%; Primers:5.0%; Woodcare:32.0%; Accessories:15.2%; Enamel:9.8%; General:4.2%; Floor & Roof Paints:4.1%; Waterproofing:21.1%; Putty:37.5%,2.44,62.2,False
KW011,KW011,Hassims Supply Store,BV,Bhadresh Vallabh,58.9,at_risk,At-Risk,🟠,2.34,3.17,3.66,79.2,4,0.67,28,33.3,7,7,"Enamel, Floor & Roof Paints, General, Primers, Putty, Specialised Coatings, Woodcare",63.6,100.0,Enamel:37.2%; General:27.1%; Specialised Coatings:16.7%; Primers:17.5%; Woodcare:40.0%; Putty:37.5%; Floor & Roof Paints:8.1%,-53.65,0.0,False
KS061,KS061,Safari Hardware & Glass,AP,Amit Patel,58.8,at_risk,At-Risk,🟠,0.33,0.33,0.42,8.2,8,1.33,43,66.7,9,8,"Accessories, Enamel, Floor & Roof Paints, General, Primers, Putty, QD Enamel, Waterproofing",76.4,59.1,Enamel:6.0%; Putty:75.0%; General:4.2%; Accessories:15.2%; QD Enamel:1.0%; Floor & Roof Paints:1.4%; Primers:5.0%; Waterproofing:10.5%,92.42,100.0,False
KM120,KM120,Mr Build Pty Ltd,BV,Bhadresh Vallabh,58.8,at_risk,At-Risk,🟠,1.0,1.0,1.5,25.0,14,2.33,23,100.0,10,9,"Accessories, Enamel, General, PVA Paints, Primers, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",85.5,79.3,PVA Paints:4.2%; Enamel:14.8%; Woodcare:56.0%; General:16.7%; Accessories:24.2%; QD Enamel:4.8%; Primers:10.0%; Waterproofing:39.5%; Specialised Coatings:8.3%,-48.55,0.0,False
KM046,KM046,Motala Building Supply,BV,Bhadresh Vallabh,58.7,at_risk,At-Risk,🟠,1.67,2.34,2.17,58.5,5,0.83,9,41.7,11,10,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",94.5,63.4,PVA Paints:4.5%; Enamel:17.5%; Floor & Roof Paints:5.4%; Primers:10.0%; Waterproofing:23.7%; Woodcare:48.0%; General:10.4%; QD Enamel:16.3%; Accessories:6.1%; Specialised Coatings:16.7%,-26.94,0.0,False
KA090,KA090,A A Owaish Maize Depot Pty Ltd,AP,Amit Patel,58.6,narrow,Active but Narrow,🟡,1.0,1.17,1.08,29.2,4,0.67,44,33.3,10,10,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Waterproofing, Woodcare",90.9,57.0,PVA Paints:2.9%; Enamel:3.8%; Waterproofing:21.1%; Woodcare:16.0%; Putty:62.5%; General:8.3%; Accessories:18.2%; QD Enamel:1.9%; Primers:5.0%; Floor & Roof Paints:2.7%,3.96,69.8,False
KK028,KK028,Kgapane Hardware Pty Ltd,BV,Bhadresh Vallabh,58.6,at_risk,At-Risk,🟠,1.34,1.5,1.42,37.5,4,0.67,9,33.3,11,11,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",100.0,95.1,Primers:10.0%; Enamel:25.1%; Floor & Roof Paints:31.1%; Woodcare:80.0%; Specialised Coatings:8.3%; Waterproofing:34.2%; Putty:37.5%; General:27.1%; PVA Paints:3.2%; QD Enamel:1.9%; Accessories:3.0%,-17.48,0.0,False
KM025,KM025,Masons Hardware,AC,Aboo Cassim,58.5,narrow,Active but Narrow,🟡,0.33,0.5,0.75,12.5,10,1.67,10,83.3,7,6,"Enamel, Floor & Roof Paints, General, QD Enamel, Specialised Coatings, Woodcare",58.2,69.5,Enamel:15.8%; QD Enamel:1.9%; Woodcare:72.0%; Floor & Roof Paints:4.1%; Specialised Coatings:8.3%; General:2.1%,18.53,100.0,False
KL004,KL004/1,World Focus 1932 CC,AP,Amit Patel,58.4,narrow,Active but Narrow,🟡,0.67,0.67,0.67,16.8,10,1.67,11,83.3,8,8,"Accessories, Enamel, General, Primers, Putty, QD Enamel, Waterproofing, Woodcare",72.7,60.4,Enamel:5.5%; Woodcare:16.0%; Putty:50.0%; Accessories:24.2%; QD Enamel:3.8%; Waterproofing:7.9%; General:8.3%; Primers:5.0%,4.37,71.9,False
KM078,KM078,Mavambe Hardware,NP,Nikhil Panchal,58.3,at_risk,At-Risk,🟠,0.67,1.17,1.0,29.2,6,1.0,29,50.0,11,9,"Accessories, Enamel, General, PVA Paints, Primers, Putty, QD Enamel, Waterproofing, Woodcare",89.1,98.5,PVA Paints:5.5%; Enamel:17.5%; Waterproofing:28.9%; Woodcare:52.0%; General:27.1%; Accessories:27.3%; QD Enamel:5.8%; Putty:50.0%; Primers:7.5%,-7.32,13.4,False
KC013,KC013,Central Building Supplies,NP,Nikhil Panchal,58.1,at_risk,At-Risk,🟠,1.34,1.17,0.92,29.2,6,1.0,37,50.0,11,10,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Waterproofing, Woodcare",94.5,100.0,PVA Paints:17.5%; Enamel:25.1%; Floor & Roof Paints:27.0%; Primers:20.0%; Waterproofing:26.3%; Woodcare:72.0%; Putty:62.5%; General:27.1%; QD Enamel:7.7%; Accessories:12.1%,-14.2,0.0,False
KM027,KM027/7,POWER BUILD,AC,Aboo Cassim,57.8,at_risk,At-Risk,🟠,0.33,0.33,0.33,8.2,29,4.83,86,100.0,7,5,"Enamel, Primers, Putty, QD Enamel, Woodcare",52.7,66.4,Enamel:11.5%; Primers:5.0%; Putty:37.5%; QD Enamel:1.0%; Woodcare:28.0%,185.94,100.0,False
KA031,KA031,Ash Building Supplies,BV,Bhadresh Vallabh,57.6,narrow,Active but Narrow,🟡,0.67,0.67,0.92,16.8,5,0.83,28,41.7,10,9,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, QD Enamel, Waterproofing, Woodcare",85.5,43.3,Enamel:12.0%; Primers:5.0%; Woodcare:32.0%; General:18.8%; PVA Paints:3.2%; QD Enamel:4.8%; Waterproofing:10.5%; Accessories:3.0%; Floor & Roof Paints:8.1%,10.19,100.0,False
KA008,KA008,Safu Building Material,AP,Amit Patel,57.3,at_risk,At-Risk,🟠,1.0,0.84,0.92,21.0,10,1.67,38,83.3,9,9,"Accessories, Enamel, General, PVA Paints, Primers, Putty, QD Enamel, Waterproofing, Woodcare",81.8,100.0,PVA Paints:5.8%; Enamel:14.2%; Woodcare:60.0%; Putty:75.0%; General:18.8%; Accessories:21.2%; QD Enamel:2.9%; Primers:7.5%; Waterproofing:23.7%,-9.91,0.4,False
KT034,KT034,TFS Hardware ( Qwa Qwa),NP,Nikhil Panchal,57.2,narrow,Active but Narrow,🟡,0.67,0.84,1.0,21.0,6,1.0,8,50.0,8,8,"Accessories, Enamel, Floor & Roof Paints, PVA Paints, Primers, QD Enamel, Waterproofing, Woodcare",72.7,70.2,PVA Paints:2.6%; Enamel:13.7%; Primers:15.0%; Waterproofing:36.8%; Woodcare:52.0%; QD Enamel:11.5%; Accessories:6.1%; Floor & Roof Paints:2.7%,6.09,80.5,False
KM035,KM035,Mikes Hardware,BV,Bhadresh Vallabh,57.1,narrow,Active but Narrow,🟡,0.33,0.67,1.67,16.8,4,0.67,37,33.3,9,9,"Accessories, Enamel, Floor & Roof Paints, PVA Paints, Primers, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",81.8,56.0,Enamel:22.4%; Primers:7.5%; Woodcare:48.0%; QD Enamel:16.3%; Floor & Roof Paints:1.4%; Waterproofing:10.5%; Accessories:3.0%; Specialised Coatings:16.7%; PVA Paints:0.3%,98.73,100.0,False
KC012,KC012,Cassim Tayob,NP,Nikhil Panchal,57.1,at_risk,At-Risk,🟠,1.34,1.67,2.08,41.8,6,1.0,2,50.0,10,10,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",90.9,79.5,PVA Paints:12.0%; Primers:12.5%; Enamel:35.0%; Floor & Roof Paints:27.0%; Woodcare:72.0%; QD Enamel:9.6%; General:16.7%; Accessories:3.0%; Waterproofing:2.6%; Specialised Coatings:8.3%,-28.75,0.0,False
KB032,KB032,Bonanza Plumbing & Electrical,AP,Amit Patel,57.0,at_risk,At-Risk,🟠,0.67,0.33,0.5,8.2,4,0.67,65,33.3,11,11,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",100.0,82.8,PVA Paints:5.5%; Enamel:23.5%; Floor & Roof Paints:20.3%; Primers:7.5%; Waterproofing:34.2%; Woodcare:76.0%; Putty:12.5%; General:18.8%; Accessories:18.2%; QD Enamel:2.9%; Specialised Coatings:8.3%,0.0,50.0,False
KS045,KS045,Siloam Hardware,AP,Amit Patel,57.0,narrow,Active but Narrow,🟡,1.34,1.17,1.33,29.2,4,0.67,29,33.3,9,8,"Accessories, Enamel, General, PVA Paints, Primers, QD Enamel, Waterproofing, Woodcare",76.4,45.2,Accessories:12.1%; Enamel:12.6%; Primers:10.0%; QD Enamel:9.6%; PVA Paints:0.3%; Woodcare:16.0%; Waterproofing:13.2%; General:16.7%,24.84,100.0,False
KH023,KH023,Hassim's Hyper,BV,Bhadresh Vallabh,57.0,at_risk,At-Risk,🟠,1.34,1.5,1.58,37.5,4,0.67,31,33.3,11,11,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",100.0,84.2,Primers:25.0%; Enamel:29.0%; Floor & Roof Paints:9.5%; Accessories:33.3%; QD Enamel:1.9%; PVA Paints:3.6%; Waterproofing:23.7%; Woodcare:64.0%; Putty:25.0%; General:8.3%; Specialised Coatings:8.3%,-10.29,0.0,False
KH008,KH008,Honest Electrical & Plumbing,NP,Nikhil Panchal,56.9,narrow,Active but Narrow,🟡,0.67,0.84,1.17,21.0,3,0.5,58,25.0,9,8,"Accessories, Enamel, General, Primers, Putty, QD Enamel, Waterproofing, Woodcare",76.4,66.2,Enamel:12.6%; Woodcare:32.0%; General:10.4%; Accessories:18.2%; QD Enamel:8.7%; Putty:37.5%; Waterproofing:7.9%; Primers:5.0%,29.65,100.0,False
KB098,KB098,Bismillah Hardware,AC,Aboo Cassim,56.8,at_risk,At-Risk,🟠,1.0,1.17,0.92,29.2,8,1.33,22,66.7,9,9,"Accessories, Enamel, General, PVA Paints, Primers, Putty, QD Enamel, Waterproofing, Woodcare",81.8,100.0,PVA Paints:28.8%; Enamel:20.2%; Primers:2.5%; Waterproofing:21.1%; Woodcare:80.0%; Putty:37.5%; General:31.2%; QD Enamel:6.7%; Accessories:9.1%,-28.73,0.0,False
KS127,KS127,Star Auto Paint Kliptown,AC,Aboo Cassim,56.7,narrow,Active but Narrow,🟡,0.67,0.67,0.92,16.8,18,3.0,37,100.0,6,6,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Waterproofing",54.5,41.2,PVA Paints:5.8%; Enamel:22.4%; Floor & Roof Paints:14.9%; Waterproofing:10.5%; General:2.1%; Accessories:6.1%,21.44,100.0,False
KB011,KB011,Brits Hardware & Glass,BV,Bhadresh Vallabh,56.7,narrow,Active but Narrow,🟡,1.0,2.17,3.83,54.2,4,0.67,46,33.3,5,5,"Enamel, Floor & Roof Paints, PVA Paints, QD Enamel, Woodcare",45.5,63.5,Enamel:16.4%; Woodcare:48.0%; PVA Paints:5.8%; QD Enamel:3.8%; Floor & Roof Paints:5.4%,47.97,100.0,False
KN014,KN014,Norman Building Material,AC,Aboo Cassim,56.4,narrow,Active but Narrow,🟡,1.67,1.5,1.33,37.5,8,1.33,2,66.7,3,3,"Accessories, General, Putty",27.3,92.5,General:16.7%; Accessories:15.2%; Putty:37.5%,17.8,100.0,False
KA096,KA096,Alston Trading t/a Vhembe H/W,NP,Nikhil Panchal,56.2,narrow,Active but Narrow,🟡,0.67,0.67,0.83,16.8,20,3.33,53,100.0,7,6,"Accessories, Enamel, General, Primers, QD Enamel, Woodcare",58.2,51.6,Primers:5.0%; Woodcare:52.0%; General:6.2%; Accessories:12.1%; Enamel:1.1%; QD Enamel:1.0%,5.67,78.4,False
KJ038,KJ038,Jamwaria & Son's T/A Alm Spare,NP,Nikhil Panchal,56.1,at_risk,At-Risk,🟠,0.33,0.17,0.08,4.2,2,0.33,50,16.7,11,11,"Accessories, Enamel, Floor & Roof Paints, General, PVA Paints, Primers, Putty, QD Enamel, Specialised Coatings, Waterproofing, Woodcare",100.0,100.0,PVA Paints:7.1%; Primers:27.5%; Enamel:19.1%; Floor & Roof Paints:24.3%; Waterproofing:34.2%; Woodcare:84.0%; Specialised Coatings:16.7%; Putty:62.5%; General:10.4%; Accessories:24.2%; QD Enamel:16.3%,0.0,50.0,False
